Date,Open,High,Low,Close,Volume
08/18/2022,"137.11","138.85","136.90","138.77","943,936"
08/17/2022,"136.92","137.97","136.29","137.46","1,292,698"
08/16/2022,"136.22","139.24","136.22","139.02","1,159,648"
08/15/2022,"136.28","138.46","136.28","137.02","940,687"
08/12/2022,"135.39","137.51","134.55","137.44","1,196,046"
08/11/2022,"135.81","136.67","134.08","134.69","1,051,097"
08/10/2022,"134.79","135.18","133.32","133.66","1,069,341"
08/09/2022,"130.58","131.47","128.86","131.45","1,219,096"
08/08/2022,"131.75","132.96","130.62","130.72","1,170,701"
08/05/2022,"129.52","131.91","129.37","130.32","1,149,564"
08/04/2022,"130.41","131.11","129.20","131.05","1,358,036"
08/03/2022,"129.33","131.91","129.33","130.97","1,628,675"
08/02/2022,"127.76","130.53","126.75","128.68","2,099,235"
08/01/2022,"127.10","129.20","126.06","128.69","1,802,453"
07/29/2022,"127.90","128.54","126.41","128.07","1,781,959"
07/28/2022,"129.22","130.17","125.72","128.00","2,608,638"
07/27/2022,"126.34","130.27","125.10","129.25","4,455,727"
07/26/2022,"121.29","121.89","120.08","120.22","2,203,998"
07/25/2022,"121.31","122.38","119.58","122.19","1,553,136"
07/22/2022,"122.54","125.10","120.30","120.83","2,109,945"
07/21/2022,"120.54","122.64","119.06","121.97","1,685,049"
07/20/2022,"120.52","123.61","120.17","122.69","1,528,560"
07/19/2022,"119.53","122.26","119.53","121.41","1,830,586"
07/18/2022,"117.72","120.33","116.87","117.42","2,267,671"
07/15/2022,"115.17","117.09","114.08","116.34","2,191,605"
07/14/2022,"112.18","114.12","111.11","113.31","2,965,969"
07/13/2022,"110.01","115.20","109.61","114.12","2,965,520"
07/12/2022,"112.30","114.47","111.99","112.64","2,678,405"
07/11/2022,"111.10","111.91","109.57","111.59","1,725,358"
07/08/2022,"113.36","113.55","110.60","111.59","1,918,393"
07/07/2022,"111.40","114.77","110.78","113.90","2,718,710"
07/06/2022,"112.18","113.31","108.41","109.75","2,153,927"
07/05/2022,"110.25","112.24","109.27","112.03","2,420,970"
07/01/2022,"111.09","113.05","110.37","112.99","1,827,841"
06/30/2022,"111.04","113.20","109.14","111.44","3,915,819"
06/29/2022,"114.70","115.42","111.75","113.06","2,794,165"
06/28/2022,"117.87","121.31","115.20","115.28","1,870,833"
06/27/2022,"116.68","119.00","115.37","117.03","2,210,404"
06/24/2022,"112.41","117.94","111.88","116.71","2,588,359"
06/23/2022,"112.69","112.79","108.71","110.52","3,705,862"
06/22/2022,"113.16","114.44","111.17","112.02","3,303,729"
06/21/2022,"118.36","118.36","114.14","114.44","2,046,699"
06/17/2022,"116.30","117.34","113.65","116.28","2,681,111"
06/16/2022,"118.46","119.01","114.65","115.42","2,640,475"
06/15/2022,"121.31","123.62","120.26","121.89","2,472,385"
06/14/2022,"120.79","122.03","117.97","119.14","2,469,484"
06/13/2022,"123.65","123.82","119.35","120.85","3,183,986"
06/10/2022,"132.40","134.45","127.41","127.47","2,931,982"
06/09/2022,"140.05","140.05","135.79","135.80","1,714,937"
06/08/2022,"141.83","142.88","140.28","140.71","1,479,094"
06/07/2022,"142.32","144.13","140.57","143.82","1,161,971"
06/06/2022,"143.73","145.70","141.95","144.42","1,579,682"
06/03/2022,"140.34","143.08","139.96","142.17","1,067,856"
06/02/2022,"138.25","142.40","138.17","142.29","1,302,716"
06/01/2022,"141.11","142.54","136.51","138.42","1,455,624"
05/31/2022,"140.63","141.77","139.23","140.86","3,310,916"
05/27/2022,"139.34","144.61","139.34","142.25","1,860,648"
05/26/2022,"133.47","139.65","132.95","138.47","2,623,511"
05/25/2022,"128.32","132.39","127.21","131.74","2,557,313"
05/24/2022,"130.67","130.99","126.28","128.28","1,814,389"
05/23/2022,"131.49","132.95","128.73","132.35","1,813,328"
05/20/2022,"133.62","134.29","128.36","130.28","2,677,876"
05/19/2022,"127.49","133.90","127.35","131.71","2,468,973"
05/18/2022,"133.11","134.29","126.92","128.66","3,520,675"
05/17/2022,"136.05","136.86","133.00","135.08","2,306,537"
05/16/2022,"135.46","136.20","132.54","132.85","2,266,146"
05/13/2022,"134.92","137.28","134.33","136.59","2,087,633"
05/12/2022,"134.28","135.77","129.27","132.43","2,247,471"
05/11/2022,"137.97","140.91","133.99","134.51","2,720,626"
05/10/2022,"135.86","139.80","135.06","137.79","3,207,841"
05/09/2022,"142.55","142.56","132.50","133.31","4,419,091"
05/06/2022,"149.75","150.00","142.16","143.48","3,611,521"
05/05/2022,"149.57","153.14","148.23","149.89","3,921,821"
05/04/2022,"148.99","151.64","143.74","151.39","3,773,878"
05/03/2022,"153.12","154.70","145.66","148.96","5,154,946"
05/02/2022,"158.03","158.78","150.83","155.41","3,287,766"
04/29/2022,"161.04","162.06","154.93","155.29","2,194,466"
04/28/2022,"158.83","162.55","156.70","161.22","1,777,763"
04/27/2022,"151.69","157.75","150.92","157.06","2,515,956"
04/26/2022,"155.11","156.85","151.29","151.72","1,847,295"
04/25/2022,"152.96","156.28","150.60","155.94","2,331,018"
04/22/2022,"156.00","157.49","152.93","153.35","1,694,159"
04/21/2022,"166.71","167.99","156.81","156.96","2,268,147"
04/20/2022,"163.80","166.22","162.77","162.91","2,113,069"
04/19/2022,"157.38","163.35","156.68","163.14","2,203,988"
04/18/2022,"155.74","160.02","155.06","156.57","1,463,742"
04/14/2022,"154.46","157.33","153.90","155.58","2,351,189"
04/13/2022,"146.41","154.28","145.67","153.93","2,502,524"
04/12/2022,"145.00","146.95","143.86","144.88","1,698,245"
04/11/2022,"144.30","147.19","143.63","143.70","1,165,117"
04/08/2022,"144.71","147.05","143.84","145.48","1,646,722"
04/07/2022,"145.30","146.44","142.15","145.55","3,278,757"
04/06/2022,"150.01","150.01","144.81","145.61","2,031,664"
04/05/2022,"152.66","153.65","150.21","151.55","1,595,726"
04/04/2022,"150.00","152.91","148.98","152.34","1,775,228"
04/01/2022,"153.11","153.84","149.85","150.71","1,465,082"
03/31/2022,"152.74","155.10","151.53","151.74","1,814,823"
03/30/2022,"153.82","155.77","152.52","153.15","1,709,580"
03/29/2022,"153.60","156.07","153.08","155.31","2,518,382"
03/28/2022,"152.00","152.12","149.01","150.68","1,250,819"
03/25/2022,"152.21","153.84","150.96","151.50","1,074,638"
03/24/2022,"148.41","152.05","147.76","151.89","1,179,984"
03/23/2022,"149.57","150.85","148.37","148.41","1,267,510"
03/22/2022,"151.71","153.49","149.71","151.42","2,190,591"
03/21/2022,"150.56","151.10","148.02","150.35","1,855,904"
03/18/2022,"150.21","153.25","149.22","151.79","3,060,161"
03/17/2022,"147.64","151.23","147.64","151.14","1,668,221"
03/16/2022,"146.22","151.09","145.71","150.79","4,292,576"
03/15/2022,"143.49","145.72","142.42","144.24","1,581,613"
03/14/2022,"143.19","143.91","140.25","141.56","1,586,711"
03/11/2022,"144.58","145.80","141.53","141.77","1,684,843"
03/10/2022,"135.49","144.33","135.20","142.94","3,309,531"
03/09/2022,"138.50","140.67","137.46","138.52","3,171,056"
03/08/2022,"130.97","138.19","128.87","133.92","5,031,716"
03/07/2022,"137.84","138.00","128.77","129.09","4,207,912"
03/04/2022,"139.93","141.10","133.26","137.67","4,510,915"
03/03/2022,"148.13","148.84","141.00","142.01","2,685,777"
03/02/2022,"143.80","147.00","143.80","145.91","2,066,732"
03/01/2022,"147.37","148.22","141.05","142.17","3,158,383"
02/28/2022,"147.22","150.15","144.88","148.86","3,213,134"
02/25/2022,"147.00","150.68","145.01","150.67","1,949,159"
02/24/2022,"138.97","146.66","138.03","146.09","3,350,028"
02/23/2022,"148.33","148.48","143.07","143.37","3,147,669"
02/22/2022,"150.00","150.60","145.89","147.16","2,991,418"
02/18/2022,"153.16","154.49","149.93","150.41","2,318,027"
02/17/2022,"154.13","155.68","150.03","153.04","3,131,071"
02/16/2022,"157.90","160.96","155.00","156.34","4,808,622"
02/15/2022,"153.99","159.09","153.99","158.00","4,976,708"
02/14/2022,"149.76","154.50","149.76","151.43","4,412,144"
02/11/2022,"154.69","155.80","149.25","149.53","2,798,502"
02/10/2022,"151.96","156.49","150.84","154.20","2,551,167"
02/09/2022,"154.85","157.49","152.89","153.14","2,709,338"
02/08/2022,"149.25","153.70","148.65","153.38","3,102,315"
02/07/2022,"146.48","149.47","145.76","148.64","2,526,208"
02/04/2022,"143.42","147.14","142.47","145.50","3,169,479"
02/03/2022,"144.17","145.86","142.65","144.15","2,838,484"
02/02/2022,"145.99","145.99","142.74","144.59","2,740,267"
02/01/2022,"145.93","146.24","143.58","145.72","2,772,855"
01/31/2022,"142.19","145.44","141.40","145.11","1,615,265"
01/28/2022,"138.22","143.56","136.72","143.39","2,367,879"
01/27/2022,"145.76","147.02","136.89","137.25","3,534,231"
