date,spx,mar,hlt,hst,mgm,lvs,spxChange,marChange,hltChange,hstChange,mgmChange,lvsChange
"February 7, 2022","4,483.87",166.04,148.64,17.84,45.61,45.5,-0.061586726215640500000000000,0.005876294905191730000000000,-0.046873998076306500000000000,0.020011435105774800000000000,0.012655417406749600000000000,0.196738558653340000000000000
"February 8, 2022","4,521.54",171.55,153.38,18.17,47.2,45.75,-0.053702905314620400000000000,0.039256073181074800000000000,-0.016479640910548200000000000,0.038879359634076800000000000,0.047957371225577300000000000,0.203314045239348000000000000
"February 9, 2022","4,587.18",173.53,153.14,18.45,48.52,46.71,-0.039965342162431400000000000,0.051250984430847600000000000,-0.018018595703751200000000000,0.054888507718696500000000000,0.077264653641207900000000000,0.228563913729616000000000000
"February 10, 2022","4,504.08",174.68,154.2,18.54,47.07,46.65,-0.057357046884352600000000000,0.058217725813291400000000000,-0.011221545367104800000000000,0.060034305317324200000000000,0.045071047957371300000000000,0.226985796948974000000000000
"February 11, 2022","4,418.64",169.88,149.53,18.06,45.46,45.16,-0.075238481919742800000000000,0.029139153086569300000000000,-0.041167040718178800000000000,0.032590051457976000000000000,0.009325044404973390000000000,0.187795896896370000000000000
"February 14, 2022","4,401.67",171.33,151.43,17.93,44.65,46.21,-0.078790073124688700000000000,0.037923305264433400000000000,-0.028983648605322100000000000,0.025157232704402600000000000,-0.008658969804618130000000000,0.215412940557601000000000000
"February 15, 2022","4,471.07",181.2,158,18.72,45.08,47.76,-0.064265592887609100000000000,0.097716120433755400000000000,0.013145238858608600000000000,0.070325900514579800000000000,0.000888099467140301000000000,0.256180957390847000000000000
"February 16, 2022","4,475.01",183.26,156.34,19.31,45.17,47.61,-0.063441004240143700000000000,0.110195674562307000000000000,0.002500801538954890000000000,0.104059462550029000000000000,0.002886323268206100000000000,0.252235665439242000000000000
"February 17, 2022","4,380.26",178.17,153.04,19.3,43.68,47.06,-0.083270896206473700000000000,0.079360271400012100000000000,-0.018659826867585700000000000,0.103487707261292000000000000,-0.030195381882770900000000000,0.237769594950026000000000000
"February 18, 2022","4,348.87",174.92,150.41,19.11,43.56,47.12,-0.089840398146559200000000000,0.059671654449627400000000000,-0.035524206476434700000000000,0.092624356775300200000000000,-0.032859680284191800000000000,0.239347711730668000000000000
"February 22, 2022","4,304.76",173.12,147.16,18.59,43.23,45.42,-0.099072023841913400000000000,0.048767189677106800000000000,-0.056364219301058000000000000,0.062893081761006400000000000,-0.040186500888099500000000000,0.194634402945818000000000000
"February 23, 2022","4,225.50",167.97,143.37,18.34,42.48,45.15,-0.115660068562244000000000000,0.017568304355727900000000000,-0.080666880410387800000000000,0.048599199542595900000000000,-0.056838365896980500000000000,0.187532877432930000000000000
"February 24, 2022","4,288.70",168.75,146.09,18.49,43.51,43.58,-0.102433164369399000000000000,0.022293572423820200000000000,-0.063225392754087800000000000,0.057175528873642100000000000,-0.033969804618117300000000000,0.146238821672804000000000000
"February 25, 2022","4,384.65",174.37,150.67,18.75,45.12,44.52,-0.082352128652572100000000000,0.056339734658023900000000000,-0.033857005450464900000000000,0.072041166380789100000000000,0.001776198934280600000000000,0.170962651236191000000000000
"February 28, 2022","4,373.94",170.14,148.86,18.27,44.29,42.86,-0.084593586625758300000000000,0.030714242442600100000000000,-0.045463289515870300000000000,0.044596912521440900000000000,-0.016651865008881000000000000,0.127301420305102000000000000
"March 1, 2022","4,306.26",164.91,142.17,17.42,41.92,40.3,-0.098758094153792100000000000,-0.000969285757557379000000000,-0.088361654376402700000000000,-0.004002287021154760000000000,-0.069271758436944900000000000,0.059968437664387000000000000
"March 2, 2022","4,386.54",168.23,145.91,17.92,43.73,44.4,-0.081956577245539100000000000,0.019143393711758600000000000,-0.064379608848990000000000000,0.024585477415666300000000000,-0.029085257548845500000000000,0.167806417674908000000000000
"March 3, 2022","4,363.49",165.47,142.01,17.59,43.35,42.37,-0.086780630119670100000000000,0.002423214393893530000000000,-0.089387624238538000000000000,0.005717552887364290000000000,-0.037522202486678500000000000,0.114413466596528000000000000
