Date,Open,High,Low,Close,Volume
06/10/2022,"32.50","33.57","31.76","31.78","7,477,416"
06/09/2022,"34.93","35.07","34.10","34.32","3,546,872"
06/08/2022,"35.41","35.98","34.94","35.40","3,085,161"
06/07/2022,"34.85","35.60","34.47","35.49","3,307,328"
06/06/2022,"35.06","35.57","34.58","35.31","3,426,887"
06/03/2022,"34.63","35.17","34.41","34.71","3,162,796"
06/02/2022,"33.82","35.23","33.82","35.13","3,886,435"
06/01/2022,"35.28","35.61","33.60","34.19","5,582,617"
05/31/2022,"35.80","35.80","34.72","34.97","7,804,079"
05/27/2022,"34.70","35.14","34.37","34.89","4,649,613"
05/26/2022,"32.65","34.88","32.59","34.48","8,254,016"
05/25/2022,"30.78","32.39","30.70","32.09","6,584,457"
05/24/2022,"33.20","33.20","30.82","31.11","8,384,369"
05/23/2022,"34.80","34.80","33.26","33.61","8,360,979"
05/20/2022,"34.33","34.66","33.26","34.37","7,421,265"
05/19/2022,"32.45","34.37","32.37","33.65","8,041,673"
05/18/2022,"35.00","35.11","32.51","33.00","12,829,030"
05/17/2022,"35.99","36.30","35.37","35.69","5,880,459"
05/16/2022,"36.20","36.74","34.99","35.07","5,943,264"
05/13/2022,"35.27","36.55","35.27","36.15","6,754,474"
05/12/2022,"34.68","35.39","33.70","34.52","7,442,040"
05/11/2022,"36.46","37.29","34.86","35.07","5,686,896"
05/10/2022,"35.97","36.75","35.05","36.20","10,329,240"
05/09/2022,"37.55","37.88","35.01","35.14","8,933,353"
05/06/2022,"39.14","39.24","37.65","38.31","6,927,304"
05/05/2022,"40.79","41.14","38.76","39.30","4,872,230"
05/04/2022,"41.33","41.33","39.03","41.03","7,047,232"
05/03/2022,"42.14","43.08","40.23","40.85","8,507,039"
05/02/2022,"41.99","42.23","40.40","41.97","6,437,050"
04/29/2022,"41.88","43.26","40.96","41.04","5,060,653"
04/28/2022,"40.94","42.59","40.13","42.11","7,570,085"
04/27/2022,"40.26","41.13","39.54","40.34","4,530,210"
