Date,Open,High,Low,Close,Volume
04/18/2022,"36.69","36.95","36.21","36.65","5,100,202"
04/14/2022,"36.35","37.29","36.18","36.96","5,586,816"
04/13/2022,"35.42","36.60","35.31","36.25","4,567,680"
04/12/2022,"35.51","36.17","34.85","35.03","4,184,964"
04/11/2022,"35.10","36.39","34.77","35.04","4,722,502"
04/08/2022,"35.82","36.33","35.23","35.95","3,919,247"
04/07/2022,"36.77","36.90","35.12","36.11","5,541,103"
04/06/2022,"37.23","37.38","36.12","37.00","7,720,574"
04/05/2022,"39.80","40.00","37.62","37.83","6,640,658"
04/04/2022,"39.61","40.37","39.04","39.93","4,458,868"
04/01/2022,"39.50","40.29","39.11","39.52","4,559,662"
03/31/2022,"39.24","39.78","38.86","38.87","4,850,701"
03/30/2022,"39.59","40.50","39.25","39.65","3,779,627"
03/29/2022,"39.67","40.60","39.41","40.00","5,317,096"
03/28/2022,"39.04","39.32","38.08","38.89","4,130,722"
03/25/2022,"39.75","39.80","38.93","39.20","4,427,123"
03/24/2022,"38.73","39.77","38.27","39.73","6,852,263"
03/23/2022,"38.60","39.12","38.06","38.17","4,706,056"
03/22/2022,"38.52","39.71","38.52","39.02","4,937,992"
03/21/2022,"38.54","39.15","38.01","38.69","5,661,238"
03/18/2022,"36.97","39.30","36.77","38.96","10,334,930"
03/17/2022,"35.96","37.44","35.53","37.37","9,785,908"
03/16/2022,"34.50","36.55","34.43","36.54","13,820,800"
03/15/2022,"31.72","33.31","31.26","32.66","10,523,440"
03/14/2022,"35.16","35.34","31.75","32.09","17,873,061"
03/11/2022,"38.91","39.18","36.41","36.42","7,488,825"
03/10/2022,"37.89","39.00","37.68","38.60","5,876,410"
03/09/2022,"38.78","39.62","38.50","38.77","7,507,203"
03/08/2022,"36.34","38.30","35.23","37.00","8,893,713"
03/07/2022,"40.82","40.82","35.88","36.10","14,629,910"
03/04/2022,"41.63","42.10","40.23","40.80","8,211,705"
03/03/2022,"43.90","43.92","42.18","42.37","7,160,727"
03/02/2022,"42.41","44.87","42.26","44.40","14,976,240"
03/01/2022,"42.48","43.07","40.06","40.30","10,125,370"
02/28/2022,"43.46","43.62","42.37","42.86","8,260,028"
02/25/2022,"43.98","44.58","43.00","44.52","7,213,695"
02/24/2022,"42.97","43.87","42.05","43.58","11,837,510"
02/23/2022,"46.08","46.48","45.02","45.15","6,190,373"
02/22/2022,"46.67","46.67","44.48","45.42","8,732,001"
02/18/2022,"46.81","47.73","46.36","47.12","6,884,266"
02/17/2022,"47.00","47.83","46.72","47.06","6,470,212"
02/16/2022,"47.21","48.27","46.86","47.61","6,073,890"
02/15/2022,"47.22","47.98","46.95","47.76","8,649,934"
02/14/2022,"45.22","47.55","45.15","46.21","9,440,605"
02/11/2022,"46.67","47.32","44.86","45.16","7,252,760"
02/10/2022,"46.05","47.37","45.91","46.65","6,549,553"
02/09/2022,"45.93","46.91","45.73","46.71","6,379,025"
02/08/2022,"45.79","46.47","44.99","45.75","8,268,132"
02/07/2022,"44.42","45.95","44.28","45.50","8,361,650"
02/04/2022,"43.65","44.53","43.28","44.20","5,479,056"
02/03/2022,"44.09","45.25","43.85","43.91","5,268,601"
02/02/2022,"44.60","45.70","44.29","44.75","10,342,470"
02/01/2022,"43.84","44.97","43.82","44.65","5,808,071"
01/31/2022,"42.77","43.91","42.36","43.80","6,136,001"
01/28/2022,"42.33","43.17","41.82","43.11","7,040,515"
01/27/2022,"44.22","44.29","41.80","42.08","9,593,058"
01/26/2022,"45.26","45.49","43.81","44.12","9,186,021"
01/25/2022,"44.00","45.37","43.02","44.87","9,875,107"
01/24/2022,"42.80","44.99","41.91","44.89","16,508,699"
01/21/2022,"43.66","44.97","42.90","43.75","14,375,260"
01/20/2022,"44.16","45.02","43.50","43.61","9,836,103"
01/19/2022,"43.97","44.86","43.26","43.92","14,169,750"
01/18/2022,"42.58","44.28","41.86","43.10","20,211,119"
01/14/2022,"42.13","43.72","41.51","42.99","49,781,121"
01/13/2022,"38.94","39.49","37.59","37.66","7,044,968"
01/12/2022,"39.25","39.50","38.35","38.95","6,935,359"
01/11/2022,"37.62","39.42","37.26","38.85","17,029,369"
01/10/2022,"37.01","37.52","35.38","36.43","9,356,966"
01/07/2022,"37.87","38.61","37.80","37.90","5,827,701"
01/06/2022,"37.34","38.33","36.84","37.83","5,588,036"
01/05/2022,"38.49","38.86","36.88","36.97","8,088,654"
01/04/2022,"39.36","39.60","38.43","38.66","6,132,004"
01/03/2022,"38.02","39.18","37.89","38.85","6,437,817"
